ID,Career_goals_pre,Career_goals_post
WiT2023010193,Switching to a new company or industry,
WiT2023010067,Starting my own business or freelancing,
WiT2023010077,Starting my own business or freelancing,Starting my own business or freelancing
WiT2023010018,Starting my own business or freelancing,Getting an oversea job in the new industry
WiT2023010103,Switching to a new company or industry,Switching to a new company or industry
WiT2023010180,Advancing within my current company,Advancing within my current company
WiT2023010146,Getting an oversea job in the new industry,
WiT2023010073,Getting an oversea job in the same industry,Getting an oversea job in the same industry
WiT2023010040,Starting my own business or freelancing,Getting an oversea job in the new industry
WiT2023010049,Getting an oversea job in the new industry,Getting an oversea job in the new industry
WiT2023010200,Starting my own business or freelancing,
WIT203010220,Switching to a new company or industry,
WiT2023010136,Starting my own business or freelancing,
WiT2023010187,Switching to a new company or industry,
WiT2023010157,Starting my own business or freelancing,Starting my own business or freelancing
WiT2023010158,Starting my own business or freelancing,Starting my own business or freelancing
WiT2023010249,Switching to a new company or industry,Starting my own business or freelancing
WiT2023010089,Getting an oversea job in the new industry,
WiT2023010228,Starting my own business or freelancing,Getting an oversea job in the same industry
WiT2023010251,Starting my own business or freelancing,Starting my own business or freelancing
Volunteer,,Switching to a new company or industry
Volunteer,,Advancing within my current company
Volunteer,,Getting an oversea job in the same industry
Volunteer,,Getting an oversea job in the new industry
Volunteer,,Getting an oversea job in the same industry
Volunteer,,Getting an oversea job in the same industry
Volunteer,,Getting an oversea job in the same industry
Volunteer,,Getting an oversea job in the same industry
Volunteer,,Getting an oversea job in the same industry
WiT2023010220,,Switching to a new company or industry
