ID,Score_Type,Score
WiT2023010193,DA_pre,3.0
WiT2023010067,DA_pre,3.0
WiT2023010077,DA_pre,3.0
WiT2023010018,DA_pre,4.0
WiT2023010103,DA_pre,3.0
WiT2023010180,DA_pre,5.0
WiT2023010146,DA_pre,5.0
WiT2023010073,DA_pre,7.0
WiT2023010040,DA_pre,1.0
WiT2023010049,DA_pre,1.0
WiT2023010200,DA_pre,1.0
WIT203010220,DA_pre,3.0
WiT2023010136,DA_pre,4.0
WiT2023010187,DA_pre,7.0
WiT2023010157,DA_pre,2.0
WiT2023010158,DA_pre,1.0
WiT2023010249,DA_pre,1.0
WiT2023010089,DA_pre,1.0
WiT2023010228,DA_pre,6.0
WiT2023010251,DA_pre,3.0
Volunteer,DA_pre,
Volunteer,DA_pre,
Volunteer,DA_pre,
Volunteer,DA_pre,
Volunteer,DA_pre,
Volunteer,DA_pre,
Volunteer,DA_pre,
Volunteer,DA_pre,
Volunteer,DA_pre,
WiT2023010220,DA_pre,
WiT2023010193,NLP_pre,1.0
WiT2023010067,NLP_pre,1.0
WiT2023010077,NLP_pre,3.0
WiT2023010018,NLP_pre,4.0
WiT2023010103,NLP_pre,1.0
WiT2023010180,NLP_pre,2.0
WiT2023010146,NLP_pre,1.0
WiT2023010073,NLP_pre,6.0
WiT2023010040,NLP_pre,1.0
WiT2023010049,NLP_pre,1.0
WiT2023010200,NLP_pre,1.0
WIT203010220,NLP_pre,1.0
WiT2023010136,NLP_pre,1.0
WiT2023010187,NLP_pre,5.0
WiT2023010157,NLP_pre,2.0
WiT2023010158,NLP_pre,1.0
WiT2023010249,NLP_pre,3.0
WiT2023010089,NLP_pre,1.0
WiT2023010228,NLP_pre,7.0
WiT2023010251,NLP_pre,4.0
Volunteer,NLP_pre,
Volunteer,NLP_pre,
Volunteer,NLP_pre,
Volunteer,NLP_pre,
Volunteer,NLP_pre,
Volunteer,NLP_pre,
Volunteer,NLP_pre,
Volunteer,NLP_pre,
Volunteer,NLP_pre,
WiT2023010220,NLP_pre,
WiT2023010193,Cyber_pre,2.0
WiT2023010067,Cyber_pre,1.0
WiT2023010077,Cyber_pre,5.0
WiT2023010018,Cyber_pre,4.0
WiT2023010103,Cyber_pre,1.0
WiT2023010180,Cyber_pre,6.0
WiT2023010146,Cyber_pre,9.0
WiT2023010073,Cyber_pre,3.0
WiT2023010040,Cyber_pre,1.0
WiT2023010049,Cyber_pre,1.0
WiT2023010200,Cyber_pre,1.0
WIT203010220,Cyber_pre,4.0
WiT2023010136,Cyber_pre,1.0
WiT2023010187,Cyber_pre,3.0
WiT2023010157,Cyber_pre,2.0
WiT2023010158,Cyber_pre,1.0
WiT2023010249,Cyber_pre,4.0
WiT2023010089,Cyber_pre,5.0
WiT2023010228,Cyber_pre,4.0
WiT2023010251,Cyber_pre,3.0
Volunteer,Cyber_pre,
Volunteer,Cyber_pre,
Volunteer,Cyber_pre,
Volunteer,Cyber_pre,
Volunteer,Cyber_pre,
Volunteer,Cyber_pre,
Volunteer,Cyber_pre,
Volunteer,Cyber_pre,
Volunteer,Cyber_pre,
WiT2023010220,Cyber_pre,
WiT2023010193,VersionControl_pre,1.0
WiT2023010067,VersionControl_pre,1.0
WiT2023010077,VersionControl_pre,3.0
WiT2023010018,VersionControl_pre,1.0
WiT2023010103,VersionControl_pre,1.0
WiT2023010180,VersionControl_pre,2.0
WiT2023010146,VersionControl_pre,1.0
WiT2023010073,VersionControl_pre,1.0
WiT2023010040,VersionControl_pre,1.0
WiT2023010049,VersionControl_pre,1.0
WiT2023010200,VersionControl_pre,1.0
WIT203010220,VersionControl_pre,1.0
WiT2023010136,VersionControl_pre,1.0
WiT2023010187,VersionControl_pre,1.0
WiT2023010157,VersionControl_pre,1.0
WiT2023010158,VersionControl_pre,1.0
WiT2023010249,VersionControl_pre,2.0
WiT2023010089,VersionControl_pre,1.0
WiT2023010228,VersionControl_pre,4.0
WiT2023010251,VersionControl_pre,2.0
Volunteer,VersionControl_pre,
Volunteer,VersionControl_pre,
Volunteer,VersionControl_pre,
Volunteer,VersionControl_pre,
Volunteer,VersionControl_pre,
Volunteer,VersionControl_pre,
Volunteer,VersionControl_pre,
Volunteer,VersionControl_pre,
Volunteer,VersionControl_pre,
WiT2023010220,VersionControl_pre,
WiT2023010193,Tableau_pre,1.0
WiT2023010067,Tableau_pre,1.0
WiT2023010077,Tableau_pre,3.0
WiT2023010018,Tableau_pre,1.0
WiT2023010103,Tableau_pre,1.0
WiT2023010180,Tableau_pre,3.0
WiT2023010146,Tableau_pre,6.0
WiT2023010073,Tableau_pre,1.0
WiT2023010040,Tableau_pre,1.0
WiT2023010049,Tableau_pre,1.0
WiT2023010200,Tableau_pre,1.0
WIT203010220,Tableau_pre,1.0
WiT2023010136,Tableau_pre,1.0
WiT2023010187,Tableau_pre,2.0
WiT2023010157,Tableau_pre,3.0
WiT2023010158,Tableau_pre,1.0
WiT2023010249,Tableau_pre,1.0
WiT2023010089,Tableau_pre,1.0
WiT2023010228,Tableau_pre,5.0
WiT2023010251,Tableau_pre,1.0
Volunteer,Tableau_pre,
Volunteer,Tableau_pre,
Volunteer,Tableau_pre,
Volunteer,Tableau_pre,
Volunteer,Tableau_pre,
Volunteer,Tableau_pre,
Volunteer,Tableau_pre,
Volunteer,Tableau_pre,
Volunteer,Tableau_pre,
WiT2023010220,Tableau_pre,
WiT2023010193,Python_pre,1.0
WiT2023010067,Python_pre,2.0
WiT2023010077,Python_pre,5.0
WiT2023010018,Python_pre,5.0
WiT2023010103,Python_pre,2.0
WiT2023010180,Python_pre,3.0
WiT2023010146,Python_pre,3.0
WiT2023010073,Python_pre,1.0
WiT2023010040,Python_pre,1.0
WiT2023010049,Python_pre,1.0
WiT2023010200,Python_pre,1.0
WIT203010220,Python_pre,1.0
WiT2023010136,Python_pre,5.0
WiT2023010187,Python_pre,3.0
WiT2023010157,Python_pre,3.0
WiT2023010158,Python_pre,2.0
WiT2023010249,Python_pre,1.0
WiT2023010089,Python_pre,1.0
WiT2023010228,Python_pre,4.0
WiT2023010251,Python_pre,1.0
Volunteer,Python_pre,
Volunteer,Python_pre,
Volunteer,Python_pre,
Volunteer,Python_pre,
Volunteer,Python_pre,
Volunteer,Python_pre,
Volunteer,Python_pre,
Volunteer,Python_pre,
Volunteer,Python_pre,
WiT2023010220,Python_pre,
WiT2023010193,Cloud_pre,1.0
WiT2023010067,Cloud_pre,1.0
WiT2023010077,Cloud_pre,3.0
WiT2023010018,Cloud_pre,3.0
WiT2023010103,Cloud_pre,1.0
WiT2023010180,Cloud_pre,4.0
WiT2023010146,Cloud_pre,10.0
WiT2023010073,Cloud_pre,1.0
WiT2023010040,Cloud_pre,1.0
WiT2023010049,Cloud_pre,1.0
WiT2023010200,Cloud_pre,1.0
WIT203010220,Cloud_pre,2.0
WiT2023010136,Cloud_pre,3.0
WiT2023010187,Cloud_pre,7.0
WiT2023010157,Cloud_pre,2.0
WiT2023010158,Cloud_pre,1.0
WiT2023010249,Cloud_pre,4.0
WiT2023010089,Cloud_pre,1.0
WiT2023010228,Cloud_pre,4.0
WiT2023010251,Cloud_pre,1.0
Volunteer,Cloud_pre,
Volunteer,Cloud_pre,
Volunteer,Cloud_pre,
Volunteer,Cloud_pre,
Volunteer,Cloud_pre,
Volunteer,Cloud_pre,
Volunteer,Cloud_pre,
Volunteer,Cloud_pre,
Volunteer,Cloud_pre,
WiT2023010220,Cloud_pre,
WiT2023010193,DA_post,
WiT2023010067,DA_post,
WiT2023010077,DA_post,5.0
WiT2023010018,DA_post,4.0
WiT2023010103,DA_post,7.0
WiT2023010180,DA_post,9.0
WiT2023010146,DA_post,
WiT2023010073,DA_post,8.0
WiT2023010040,DA_post,5.0
WiT2023010049,DA_post,4.0
WiT2023010200,DA_post,
WIT203010220,DA_post,
WiT2023010136,DA_post,
WiT2023010187,DA_post,
WiT2023010157,DA_post,8.0
WiT2023010158,DA_post,1.0
WiT2023010249,DA_post,6.0
WiT2023010089,DA_post,
WiT2023010228,DA_post,8.0
WiT2023010251,DA_post,8.0
Volunteer,DA_post,7.0
Volunteer,DA_post,6.0
Volunteer,DA_post,1.0
Volunteer,DA_post,8.0
Volunteer,DA_post,8.0
Volunteer,DA_post,6.0
Volunteer,DA_post,8.0
Volunteer,DA_post,2.0
Volunteer,DA_post,1.0
WiT2023010220,DA_post,5.0
WiT2023010193,NLP_post,
WiT2023010067,NLP_post,
WiT2023010077,NLP_post,4.0
WiT2023010018,NLP_post,7.0
WiT2023010103,NLP_post,3.0
WiT2023010180,NLP_post,6.0
WiT2023010146,NLP_post,
WiT2023010073,NLP_post,9.0
WiT2023010040,NLP_post,5.0
WiT2023010049,NLP_post,3.0
WiT2023010200,NLP_post,
WIT203010220,NLP_post,
WiT2023010136,NLP_post,
WiT2023010187,NLP_post,
WiT2023010157,NLP_post,7.0
WiT2023010158,NLP_post,1.0
WiT2023010249,NLP_post,7.0
WiT2023010089,NLP_post,
WiT2023010228,NLP_post,5.0
WiT2023010251,NLP_post,7.0
Volunteer,NLP_post,3.0
Volunteer,NLP_post,2.0
Volunteer,NLP_post,1.0
Volunteer,NLP_post,2.0
Volunteer,NLP_post,7.0
Volunteer,NLP_post,8.0
Volunteer,NLP_post,3.0
Volunteer,NLP_post,1.0
Volunteer,NLP_post,1.0
WiT2023010220,NLP_post,4.0
WiT2023010193,Cyber_post,
WiT2023010067,Cyber_post,
WiT2023010077,Cyber_post,4.0
WiT2023010018,Cyber_post,8.0
WiT2023010103,Cyber_post,3.0
WiT2023010180,Cyber_post,8.0
WiT2023010146,Cyber_post,
WiT2023010073,Cyber_post,6.0
WiT2023010040,Cyber_post,6.0
WiT2023010049,Cyber_post,3.0
WiT2023010200,Cyber_post,
WIT203010220,Cyber_post,
WiT2023010136,Cyber_post,
WiT2023010187,Cyber_post,
WiT2023010157,Cyber_post,7.0
WiT2023010158,Cyber_post,5.0
WiT2023010249,Cyber_post,6.0
WiT2023010089,Cyber_post,
WiT2023010228,Cyber_post,6.0
WiT2023010251,Cyber_post,6.0
Volunteer,Cyber_post,5.0
Volunteer,Cyber_post,8.0
Volunteer,Cyber_post,1.0
Volunteer,Cyber_post,3.0
Volunteer,Cyber_post,7.0
Volunteer,Cyber_post,5.0
Volunteer,Cyber_post,6.0
Volunteer,Cyber_post,6.0
Volunteer,Cyber_post,1.0
WiT2023010220,Cyber_post,8.0
WiT2023010193,VersionControl_post,
WiT2023010067,VersionControl_post,
WiT2023010077,VersionControl_post,4.0
WiT2023010018,VersionControl_post,7.0
WiT2023010103,VersionControl_post,2.0
WiT2023010180,VersionControl_post,8.0
WiT2023010146,VersionControl_post,
WiT2023010073,VersionControl_post,7.0
WiT2023010040,VersionControl_post,2.0
WiT2023010049,VersionControl_post,6.0
WiT2023010200,VersionControl_post,
WIT203010220,VersionControl_post,
WiT2023010136,VersionControl_post,
WiT2023010187,VersionControl_post,
WiT2023010157,VersionControl_post,8.0
WiT2023010158,VersionControl_post,3.0
