ID,DA_tools,DA_learnTools
WiT2023010077,Python,Python
WiT2023010018,Python,Python
WiT2023010018,Python,Tableau
WiT2023010146,Tableau,
WiT2023010136,Python,
WiT2023010228,Tableau,Tableau
Volunteer,,Tableau
Volunteer,,Tableau
Volunteer,,Tableau
Volunteer,,Python
Volunteer,,Tableau
Volunteer,,Python
Volunteer,,Tableau
Volunteer,,Tableau
Volunteer,,Tableau
WiT2023010073,,Python
WiT2023010073,,Tableau
WiT2023010040,,Tableau
WiT2023010103,,Tableau
WiT2023010049,,Python
WiT2023010049,,Tableau
WiT2023010251,,Python
WiT2023010251,,Tableau
WiT2023010157,,Python
WiT2023010157,,Tableau
WiT2023010249,,Python
WiT2023010249,,Tableau
WiT2023010180,,Python
WiT2023010180,,Tableau
WiT2023010158,,Python
WiT2023010158,,Tableau
WiT2023010220,,Python
WiT2023010220,,Tableau
